,Winery,Points_Mean,Price_Mean,Points_Median,Price_Median,Total_Reviews,N_Varieties,Varieties,Country,Province,Region
4055,Château Beaubois,87.3,14.7,88.0,15.0,7,4,"['Rosé', 'Rhône-style White Blend', 'Rhône-style Red Blend', 'Syrah-Grenache']",France,Rhône Valley,['Costières de Nîmes']
4056,Château Beauchêne,83.0,13.0,83.0,13.0,1,1,['Rhône-style White Blend'],France,Rhône Valley,['Côtes du Rhône']
4057,Château Beaulieu,88.0,12.0,88.0,12.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4058,Château Beaulieu,88.2,15.2,88.0,15.0,5,1,['Rosé'],France,Provence,"[""Coteaux d'Aix-en-Provence""]"
4059,Château Beaulieu Comtes de Tastes,86.0,15.0,86.0,15.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4060,Château Beaumont,89.5,23.3,90.0,25.0,11,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4061,Château Beaumont Les Pierrières,87.0,,87.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Blaye Côtes de Bordeaux']
4062,Château Beaumont les Pierrières,88.0,,88.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Blaye Côtes de Bordeaux']
4063,Château Beauregard,88.6,43.0,88.5,43.0,8,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pomerol']
4064,Château Beauregard Lagupeau,87.0,20.0,87.0,20.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Graves']
4065,Château Beauregard-Ducourt,85.6,13.0,84.0,13.0,5,3,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend', 'Rosé']",France,Bordeaux,['Bordeaux']
4066,Château Beausejour-Duffau-Lagarrosse,92.2,112.5,92.5,112.5,10,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4067,Château Beausoleil,83.0,24.0,83.0,24.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4068,Château Beauséjour,89.7,38.6,91.0,36.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Fronsac']
4069,Château Beauséjour,88.0,30.0,88.0,30.0,1,1,['Bordeaux-style Red Blend'],France,Southwest France,['Bergerac Sec']
4070,Château Beauvillage,88.0,28.7,88.0,30.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4071,Château Bel Air,86.8,19.5,85.5,19.5,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4072,Château Bel Air Moulard,84.0,,84.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4073,Château Bel Air Perponcher,87.7,15.2,88.0,15.0,6,2,"['Bordeaux-style White Blend', 'Bordeaux-style Red Blend']",France,Bordeaux,['Bordeaux Blanc']
4074,Château Bel Air la Royère,85.5,,85.5,,2,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Blaye Côtes de Bordeaux']
4075,Château Bel Enclos,86.5,20.5,86.5,20.5,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Blaye Côtes de Bordeaux']
4076,Château Bel Orme Martial,86.0,24.0,86.0,24.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4077,Château Bel-Air,89.0,22.3,89.0,20.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Lussac Saint-Émilion']
4078,Château Bel-Air Ortet,90.0,32.5,90.0,32.5,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Estèphe']
4079,Château Bel-Air Ouÿ,91.0,35.0,91.0,35.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4080,Château Bel-Orme Tronquoy de Lalande,89.0,,89.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4081,Château Bela,84.5,15.5,84.5,15.5,2,1,['Riesling'],Slovakia,Muzla,[]
4082,Château Belair,93.2,,93.5,,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4083,Château Belcier,88.0,13.0,88.0,13.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4084,Château Belgrave,90.0,46.8,90.0,52.0,11,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4085,Château Belle Assise Coureau,89.5,36.0,89.5,36.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4086,Château Belle Coline,90.0,20.0,90.0,20.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Blaye Côtes de Bordeaux']
4087,Château Belle Garde,84.0,13.0,84.0,13.0,2,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Bordeaux Supérieur']
4088,Château Belle Rive,86.0,40.0,86.0,40.0,1,1,['Chenin Blanc'],France,Loire Valley,['Quarts de Chaume']
4089,Château Belle-Garde,83.0,13.0,83.0,13.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4090,Château Belle-Vue,88.9,22.2,88.0,22.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4091,Château Bellefont-Belcier,88.0,100.0,88.0,100.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4092,Château Bellegrave,88.3,20.0,88.0,20.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Pauillac']
4093,Château Bellegrave du Poujeau,88.3,48.2,88.5,52.0,6,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4094,Château Bellerive,89.0,30.0,89.0,30.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4095,Château Bellerose Figeac,89.0,48.0,89.0,47.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4096,Château Bellevue,87.1,18.2,86.5,14.5,14,3,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend', 'Merlot']",France,Bordeaux,['Castillon Côtes de Bordeaux']
4097,Château Bellevue Canterrane,89.0,32.0,89.0,32.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4098,Château Bellevue Favereau,81.0,10.0,81.0,10.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4099,Château Bellevue Peycharneau,84.3,16.7,83.0,15.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Sainte-Foy Bordeaux']
4100,Château Bellevue de Tayac,91.0,32.5,91.0,32.5,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Margaux']
4101,Château Bellevue la Forêt,88.0,17.6,87.5,14.0,16,3,"['Red Blend', 'Rosé', 'Negrette']",France,Southwest France,['Fronton']
4102,Château Bellevue la Randée,83.0,13.0,83.0,13.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4103,Château Bellevue-Mondotte,91.0,,91.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4104,Château Belon,85.0,13.5,85.0,13.5,2,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Graves']
4105,Château Belrose,85.0,13.5,85.0,13.5,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4106,Château Belvue,87.0,12.0,87.0,12.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4107,Château Benoit,84.0,16.0,84.0,16.0,1,1,['Chardonnay'],US,Oregon,"['Willamette Valley', 'Willamette Valley']"
4108,Château Bergat,87.0,,87.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4109,Château Berliquet,89.3,45.0,90.0,45.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4110,Château Bernadotte,89.4,28.0,89.0,28.0,7,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4111,Château Bernés,83.0,15.0,83.0,15.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4112,Château Berthenon,86.2,25.0,86.5,25.0,8,3,"['Bordeaux-style Red Blend', 'Sauvignon Blanc', 'Bordeaux-style White Blend']",France,Bordeaux,['Blaye Côtes de Bordeaux']
4113,Château Bertineau Saint-Vincent,88.0,,88.0,,4,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Lalande de Pomerol']
4114,Château Bertinerie,87.2,18.3,88.0,18.5,17,3,"['Bordeaux-style Red Blend', 'Sauvignon Blanc', 'Bordeaux-style White Blend']",France,Bordeaux,['Blaye Côtes de Bordeaux']
4115,Château Bessan Ségur,87.5,22.0,87.5,22.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4116,Château Beychevelle,92.2,56.6,92.5,55.0,20,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Julien']
4117,Château Beynat,87.3,22.0,87.0,20.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Castillon Côtes de Bordeaux']
4118,Château Beyzac,84.0,,84.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4119,Château Biac,87.5,46.0,87.5,46.0,2,2,"['Bordeaux-style Red Blend', 'Bordeaux-style White Blend']",France,Bordeaux,['Cadillac Côtes de Bordeaux']
4120,Château Bianca,85.3,14.0,85.5,15.0,32,7,"['Gewürztraminer', 'Pinot Gris', 'Riesling', 'Rosé', 'Pinot Noir', 'Chardonnay', 'Pinot Blanc']",US,Oregon,"['Willamette Valley', 'Willamette Valley']"
4121,Château Bibian,88.6,20.0,88.0,20.0,5,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Haut-Médoc']
4122,Château Billeron Bouquey,87.0,20.0,87.0,20.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Saint-Émilion']
4123,Château Blaignan,87.2,19.5,87.0,19.5,5,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4124,Château Blanchereau,85.5,18.0,85.5,18.0,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Côtes de Bourg']
4125,Château Blouin,85.0,11.0,85.0,11.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
4126,Château Bois Cardon,88.5,17.5,88.5,17.5,2,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Médoc']
4127,Château Bois Chantant,89.0,14.0,89.0,14.0,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4128,Château Bois Malot,91.0,13.0,91.0,13.0,1,1,['Bordeaux-style White Blend'],France,Bordeaux,['Bordeaux Blanc']
4129,Château Bois Noir,86.0,,86.0,,1,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux Supérieur']
4130,Château Bois Pertuis,86.3,15.0,86.0,15.0,3,1,['Bordeaux-style Red Blend'],France,Bordeaux,['Bordeaux']
