Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Rule of Three,Argentina,Mendoza Province,60.0,89.5,2,1
Château Cossieu Coutelin,France,Bordeaux,60.0,90.0,1,1
Château Destieux,France,Bordeaux,60.0,94.0,1,1
Rubinna,US,California,60.0,87.0,2,2
Royal Tokaji,Hungary,Tokaj,60.0,89.0,2,2
Craggy Range,New Zealand,Martinborough Terrace,60.0,93.0,1,1
Oakville Cross,US,California,60.0,86.0,1,1
Quinta da Zaralhôa,Portugal,Douro,60.0,92.0,1,1
Pyramid Valley,New Zealand,Canterbury,60.0,91.0,1,1
Chateau Dauzac,France,Bordeaux,60.0,90.72727272727273,11,1
V Puro,Portugal,Bairrada,60.0,92.0,1,1
The Terraces,US,California,60.0,89.0,1,1
Slaughterhouse Cellars,US,California,60.0,90.2,5,1
Pisoni,US,California,60.0,92.57142857142857,7,1
Château du Grand Bos,France,Bordeaux,60.0,85.5,2,1
Plozza,Italy,Lombardy,60.0,89.75,4,1
Poggio Rubino,Italy,Tuscany,60.0,89.5,4,2
Clos Badon-Thunevin,France,Bordeaux,60.0,92.0,2,1
Clos Cypres,Spain,Catalonia,60.0,91.0,1,1
Bolen,US,California,60.0,89.0,1,1
Tolpuddle,Australia,Tasmania,60.0,94.0,1,1
Château la Marzelle,France,Bordeaux,60.0,93.0,1,1
